title,company,location,salary,updated,snippet,link
Data Engineer,MANTECH,"Herndon, VA",,2026-06-20T00:00:00.0000000,"&nbsp;...MANTECH  seeks a motivated, career and customer-oriented  <b>Data Engineer </b> to join our team in  Herndon VA.  The Data Engineer will leverage their expertise with Python to support the customer’s data pipelines and related applications, from collection to ingestion, and ensure...&nbsp;",https://jooble.org/jdp/-569492006953937950
Data Engineer,MANTECH,"Chantilly, Loudoun County, VA",,2026-06-20T00:00:00.0000000,"&nbsp;...MANTECH  seeks a motivated, career and customer-oriented  <b>Data Engineer </b> to join our team in  Chantilly, VA. 
 
  The Data Engineer will leverage their development skills and experience to support the successful designing, ingesting, cleansing, transformation, loading...&nbsp;",https://jooble.org/jdp/3420986491398351477
Senior Data Engineer,MANTECH,"Chantilly, Loudoun County, VA",,2026-06-20T00:00:00.0000000,"&nbsp;...MANTECH  seeks a motivated, career and customer-oriented  Senior <b>Data Engineer </b> to join our team in  Chantilly, VA. 
 
  The Senior Data Engineer will leverage their strong technical background and knowledge to support the Sponsor’s data initiatives, to include designing...&nbsp;",https://jooble.org/jdp/2350238032179918690
Senior Data Engineer,jobgether,United States,$130k - $150k,2026-06-16T20:09:35.0000000,"&nbsp;...position is listed on behalf of a partner company, who manages all applications and next steps. Our partner is looking for a Senior <b>Data Engineer </b>based in the United States. 
 This role plays a key part in shaping and scaling modern enterprise data platforms that power...&nbsp;",https://jooble.org/jdp/1381406330989156888
Lead Data Engineer,Mondo,"Los Angeles, CA",$130k - $150k,2026-06-04T00:00:00.0000000,"&nbsp;...Job Description 
 Job Description  Apply now: Lead <b>Data Engineer </b>/ Delivery Lead, location is in LA. The start date is ASAP for this contract position. 
 Job Title:  Lead Data Engineer / Delivery Lead 
 Location-Type:  LA 
 Start Date Is:  ASAP 
 Duration:  Contract...&nbsp;",https://jooble.org/jdp/-3581608815819873127
Lead Data Engineer,Inizio Partners Corp,"Los Angeles, CA",,2026-06-08T00:00:00.0000000,"&nbsp;...Job Description 
 Job Description  Lead <b>Data Engineer </b>(Los Angeles, CA)
 Experience: 9–12 years 
 Strong data engineering background 
 Databricks is a must, along with experience in data modeling, building pipelines, orchestration, and supporting reporting teams...&nbsp;",https://jooble.org/jdp/-5414603578034195325
Lead Data Engineer,ACI Infotech,"Atlanta, GA",,2026-06-19T00:00:00.0000000,"&nbsp;...<b>Data Engineering </b>Lead (Marketing) Position Description (General role information, job purpose, main objectives of the role)
 
 
 Location: Atlanta, GA 
 
 
 Duration: FULL TIME / C2H 
 
 
 Mode: Hybrid ( 2 days a Week) 
 
 
 This Data Engineering Lead (Marketing...&nbsp;",https://jooble.org/jdp/-908124115352691286
Lead Data Engineer,VBeyond,"Phoenix, AZ",,2026-06-16T00:00:00.0000000,"&nbsp;...Role Overview 
 
 
 The Lead <b>Data Engineer </b>will serve as a technical leader responsible for defining data architecture, leading the development of scalable and secure data platforms, and driving enterprise-wide data engineering best practices. This role combines  hands...&nbsp;",https://jooble.org/jdp/8748609155878012063
Lead Data Engineer,MetLife,"Bridgewater, NJ",,2026-06-12T00:00:00.0000000,"&nbsp;...Proposition: 
 The position sits within the newly consolidated <b>Data </b>and Analytics (D&A) organization supporting the U.S. Business...&nbsp;&nbsp;...data science, from data infrastructure, data governance, data <b>engineering,</b> data modeling, data analysis to business intelligence, data science...&nbsp;",https://jooble.org/jdp/-6035236698971594330
Lead Data Engineer with MarTech,ALIS Software LLC,"San Francisco, CA",,2026-06-08T00:00:00.0000000,"&nbsp;...Key Responsibilities   
 
  
 Lead end-to-end  MarTech  <b>engineering </b>initiatives across orchestration, <b>data </b>processing, and activation pipelines.   
 Architect scalable, event-driven systems that power real-time marketing experiences and automated customer journeys...&nbsp;",https://jooble.org/jdp/4901903425294608492
Lead Data Engineer,Inizio Partners,"Fremont, CA",,2026-06-17T00:00:00.0000000,"&nbsp;...About the job Lead <b>Data Engineer </b>
 
 
 Role: Lead Data Engineer 
 Location: Fremont, CA(3 days onsite, 2 days work from home)
 Duration: Full Time 
 Job Description:   
 
~ Candidate should Provide technical expertise in needs identification, data modelling, data...&nbsp;",https://jooble.org/jdp/-1766708892022610041
Lead Data Engineer (Hybrid),CareFirst BlueCross BlueShield,"Reston, VA",$115.2k - $228.8k,2026-06-14T00:00:00.0000000,"&nbsp;...Resp & Qualifications 
 PURPOSE: 
 The Lead <b>Data Engineer </b>is responsible for orchestrating, deploying, maintaining and scaling Cloud OR on-premise infrastructure targeting big data and platform data management (Relational and NoSQL, distributed and converged) with emphasis...&nbsp;",https://jooble.org/jdp/-1573733592838387422
Lead Data Engineer,Nuna Inc,"San Francisco, CA",$180k - $225k,2026-06-18T00:00:00.0000000,"&nbsp;...is committed to simple principles: a rigorous understanding of <b>data,</b> modern technology, and most importantly, compassion and care for...&nbsp;&nbsp;...learning, data analytics, actuarial science, and research. 
 The Data <b>Engineer </b>team is a core part of the broader Data organization, which is...&nbsp;",https://jooble.org/jdp/3255026303994548901
Lead Data Engineer,Omega Solutions Inc,"San Francisco, CA",,2026-06-18T00:00:00.0000000,"&nbsp;...Job Title 
 Mandatory Skills: (Oracle or PostgreSQL) and ETL Pipelines and Big <b>Data </b>and AWS 
 Responsibilities 
· Uses structured tools for analysis and presentation of concepts and models to enhance the BRD · Develop, maintain and deliver training materials to the...&nbsp;",https://jooble.org/jdp/4343568949937559822
Lead Data Engineer,Stepping Up Solutions,"San Francisco, CA",,2026-06-16T00:00:00.0000000,"&nbsp;...Lead <b>Data Engineer </b>
 RADIUMONE IS A GLOBAL PROGRAMMATIC AD BUYING PLATFORM 
 RadiumOne is the 6th largest web property in the U.S. according to comScore 
 We build intelligent software that automates media buying, making big data actionable for marketers and connects...&nbsp;",https://jooble.org/jdp/7940125770734225206
